model,condition,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_ontology_features,runs,full_macro_f1_mean,bsl_macro_f1_mean,delta_vs_full37,delta_vs_bsl,module,estimated_module_contribution
RF,drop_robot,0.5691889456897808,0.015053994621309267,0.6150670794633643,0.01288957275211228,34,3,0.5816309617042003,0.5947063719282877,-0.01244201601441941,-0.025517426238506835,robot,0.01244201601441941
RF,drop_innovation,0.574973790721903,0.005464536668853868,0.6140350877192983,0.0017874621337140404,34,3,0.5816309617042003,0.5947063719282877,-0.006657170982297234,-0.01973258120638466,innovation,0.006657170982297234
RF,drop_technology,0.5753084971425646,0.00800142832766225,0.6171310629514964,0.0017874621337140404,34,3,0.5816309617042003,0.5947063719282877,-0.0063224645616356545,-0.01939787478572308,technology,0.0063224645616356545
RF,drop_ethics,0.5855708418061779,0.01800519083211083,0.6202270381836946,0.011721173056347333,34,3,0.5816309617042003,0.5947063719282877,0.003939880101977655,-0.00913553012210977,ethics,-0.003939880101977655
RF,drop_algorithm,0.5867434870893146,0.030993213310239756,0.6191950464396285,0.021671826625386942,34,3,0.5816309617042003,0.5947063719282877,0.005112525385114308,-0.007962884838973117,algorithm,-0.005112525385114308
RF,drop_data,0.5878773655752199,0.01767881536436364,0.6233230134158927,0.011721173056347251,34,3,0.5816309617042003,0.5947063719282877,0.006246403871019601,-0.0068290063530678236,data,-0.006246403871019601
RF,drop_future,0.588204638147109,0.010233062844871863,0.6222910216718266,0.006191950464396245,34,3,0.5816309617042003,0.5947063719282877,0.006573676442908738,-0.006501733781178687,future,-0.006573676442908738
RF,drop_ai,0.5906844438458746,0.01031999281561607,0.6357069143446853,0.0035749242674280564,34,3,0.5816309617042003,0.5947063719282877,0.00905348214167434,-0.004021928082413084,ai,-0.00905348214167434
RF,drop_ml,0.5932645771976804,0.02484496660149511,0.6253869969040248,0.017237660566037198,34,3,0.5816309617042003,0.5947063719282877,0.011633615493480187,-0.0014417947306072376,ml,-0.011633615493480187
RF,drop_automation,0.5937554391017156,0.01837404532047638,0.6253869969040248,0.010724772802284057,34,3,0.5816309617042003,0.5947063719282877,0.01212447739751532,-0.000950932826572104,automation,-0.01212447739751532
RF,drop_global_counts,0.5941486981497553,0.00657180619184013,0.630546955624355,0.003574924267428017,30,3,0.5816309617042003,0.5947063719282877,0.012517736445555094,-0.0005576737785323305,global_counts,-0.012517736445555094
XGB,drop_ethics,0.5338260838493852,0.009364514748050827,0.6346749226006192,0.006191950464396273,34,3,0.54978573389274,0.5285137220048312,-0.015959650043354756,0.005312361844554081,ethics,0.015959650043354756
XGB,drop_algorithm,0.5338801126211565,0.017072843404780873,0.628482972136223,0.014187540851256425,34,3,0.54978573389274,0.5285137220048312,-0.01590562127158346,0.005366390616325378,algorithm,0.01590562127158346
XGB,drop_innovation,0.5340494883092637,0.019312256871404126,0.6315789473684211,0.010724772802284082,34,3,0.54978573389274,0.5285137220048312,-0.015736245583476305,0.005535766304432532,innovation,0.015736245583476305
XGB,drop_future,0.5372553040524578,0.023469725448462517,0.6336429308565531,0.015582733612529901,34,3,0.54978573389274,0.5285137220048312,-0.012530429840282187,0.00874158204762665,future,0.012530429840282187
XGB,drop_technology,0.5372611206559035,0.004655593767877078,0.6377708978328173,0.0030959752321981088,34,3,0.54978573389274,0.5285137220048312,-0.012524613236836513,0.008747398651072325,technology,0.012524613236836513
XGB,drop_ai,0.54128203787594,0.004143836237952288,0.6357069143446852,0.004729180283752133,34,3,0.54978573389274,0.5285137220048312,-0.00850369601680001,0.012768315871108826,ai,0.00850369601680001
XGB,drop_global_counts,0.5416026506125237,0.007837387565543476,0.6315789473684211,0.0030959752321981504,30,3,0.54978573389274,0.5285137220048312,-0.00818308328021633,0.013088928607692507,global_counts,0.00818308328021633
XGB,drop_data,0.54243612069303,0.011529227492507366,0.628482972136223,0.009287925696594396,34,3,0.54978573389274,0.5285137220048312,-0.007349613199709948,0.01392239868819889,data,0.007349613199709948
XGB,drop_robot,0.5451336375370133,0.005346160742088268,0.6367389060887513,0.006444786376056142,34,3,0.54978573389274,0.5285137220048312,-0.00465209635572672,0.016619915532182117,robot,0.00465209635572672
XGB,drop_automation,0.5458812241746539,0.0038852315685408427,0.6418988648090815,0.003574924267428017,34,3,0.54978573389274,0.5285137220048312,-0.003904509718086091,0.017367502169822746,automation,0.003904509718086091
XGB,drop_ml,0.5488926361741653,0.02069810111552825,0.6398348813209495,0.017051302003981753,34,3,0.54978573389274,0.5285137220048312,-0.0008930977185747091,0.020378914169334128,ml,0.0008930977185747091
