variant_id,context_window,minimum_frequency,minimum_absolute_valence,maximum_absolute_context_weight,lexicon_size,positive_terms,negative_terms,train_context_token_count,train_context_vocabulary_size,selected_feature_count,selected_features,posts_with_any_ontology_feature,overall_activation_pct,posts_with_selected_feature,selected_activation_pct,rdf_triple_count,concept_assertion_count,nonzero_activation_count,nonzero_selected_activations,selected_trace_rate_pct,shacl_conforms,shacl_validation_result_count,variant_dir,variant_status,error,reused_from_pilot
w3_f2_v1p0_c2p0,3,2,1.0,2.0,50.0,35.0,15.0,3322.0,1775.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9274.0,1768.0,100.0,True,0.0,results/sensitivity/w3_f2_v1p0_c2p0,passed,,
w3_f2_v1p5_c2p0,3,2,1.5,2.0,31.0,25.0,6.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9224.0,1722.0,100.0,True,0.0,results/sensitivity/w3_f2_v1p5_c2p0,passed,,
w3_f2_v2p0_c2p0,3,2,2.0,2.0,13.0,10.0,3.0,3322.0,1775.0,5.0,ont_domain_density;ont_total_negativo_mentions;ont_Innovacion_Neutro;ont_InteligenciaArtificial_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9066.0,1705.0,100.0,True,0.0,results/sensitivity/w3_f2_v2p0_c2p0,passed,,
w3_f3_v0p25_c2p0,3,3,0.25,2.0,24.0,15.0,9.0,3322.0,1775.0,8.0,ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_domain_density;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Robot_Negativo;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9201.0,1740.0,100.0,True,0.0,results/sensitivity/w3_f3_v0p25_c2p0,passed,,
w3_f3_v0p5_c2p0,3,3,0.5,2.0,23.0,15.0,8.0,3322.0,1775.0,8.0,ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_domain_density;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Robot_Negativo;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9201.0,1740.0,100.0,True,0.0,results/sensitivity/w3_f3_v0p5_c2p0,passed,,
w3_f3_v1p0_c2p0,3,3,1.0,2.0,19.0,13.0,6.0,3322.0,1775.0,7.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Etica_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9191.0,1727.0,100.0,True,0.0,results/sensitivity/w3_f3_v1p0_c2p0,passed,,
w3_f3_v1p5_c2p0,3,3,1.5,2.0,11.0,7.0,4.0,3322.0,1775.0,6.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Innovacion_Neutro;ont_Tecnologia_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9153.0,1718.0,100.0,True,0.0,results/sensitivity/w3_f3_v1p5_c2p0,passed,,
w3_f3_v2p0_c2p0,3,3,2.0,2.0,4.0,2.0,2.0,3322.0,1775.0,5.0,ont_domain_density;ont_Innovacion_Neutro;ont_InteligenciaArtificial_Negativo;ont_total_negativo_mentions;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9022.0,1705.0,100.0,True,0.0,results/sensitivity/w3_f3_v2p0_c2p0,passed,,
w3_f5_v0p25_c2p0,3,5,0.25,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f5_v0p25_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f5_v0p25_c2p0/lexicon_manifest.json,
w3_f5_v0p5_c2p0,3,5,0.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f5_v0p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f5_v0p5_c2p0/lexicon_manifest.json,
w3_f5_v1p0_c2p0,3,5,1.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f5_v1p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f5_v1p0_c2p0/lexicon_manifest.json,
w3_f5_v1p5_c2p0,3,5,1.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f5_v1p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f5_v1p5_c2p0/lexicon_manifest.json,
w3_f5_v2p0_c2p0,3,5,2.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f5_v2p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f5_v2p0_c2p0/lexicon_manifest.json,
w3_f8_v0p25_c2p0,3,8,0.25,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f8_v0p25_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f8_v0p25_c2p0/lexicon_manifest.json,
w3_f8_v0p5_c2p0,3,8,0.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f8_v0p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f8_v0p5_c2p0/lexicon_manifest.json,
